Well_Name,Depth,GR,RESD,RESS,RHOB,NEUTRON,Vshale,PHIE,Sw,PERM
Well-01,2277.5,145.125,5.7189,13.0906,2.432,0.4338,0.7334,0.0221,1,0.0014
Well-01,2278,122.875,5.2549,13.7817,2.4401,0.3441,0.7302,0.0629,1,0.6461
Well-01,2278.5,105,4.8609,14.7126,2.4352,0.2845,0.4984,0.0861,1,4.3665
Well-01,2279,87.5625,4.5925,15.8894,2.4351,0.2574,0.4012,0.095,0.9752,7.9809
Well-01,2279.5,77.4375,4.3552,16.7666,2.4396,0.244,0.3637,0.0958,0.939,8.3906
Well-01,2280,74.5625,4.1993,17.1957,2.4384,0.2368,0.3372,0.0988,0.8825,10.1155
Well-01,2280.5,74,4.125,17.4137,2.4293,0.2341,0.3111,0.1062,0.7897,15.7266
Well-01,2281,74.375,4.1385,17.6374,2.4235,0.2378,0.313,0.1092,0.7678,18.704
Well-01,2281.5,80.6875,4.251,17.9175,2.4258,0.2467,0.3472,0.105,0.8287,14.6642
Well-01,2282,80.3125,4.4202,18.2805,2.4258,0.247,0.348,0.1049,0.8362,14.6114
Well-01,2282.5,77.875,4.6321,19.2498,2.4263,0.2347,0.3078,0.1081,0.7877,17.5837
Well-01,2283,59.8125,4.8188,20.7142,2.4272,0.2114,0.2311,0.1142,0.6932,24.5643
Well-01,2283.5,51.6875,5.0916,22.2148,2.4277,0.2034,0.205,0.1161,0.6303,27.0996
Well-01,2284,49.1875,5.3774,22.4198,2.4368,0.2084,0.2385,0.1079,0.6292,17.3579
Well-01,2284.5,49.125,5.5552,21.9066,2.443,0.2127,0.2644,0.1021,0.6262,12.3888
Well-01,2285,50.8125,5.6724,20.5257,2.4434,0.2165,0.2782,0.1007,0.6555,11.3851
Well-01,2285.5,61.625,5.7525,18.4406,2.4539,0.2323,0.3509,0.0886,0.8259,5.207
Well-01,2286,73.75,5.8201,16.3755,2.4716,0.2578,0.4703,0.0681,1,1.0497
Well-01,2286.5,86.875,5.8496,15.2085,2.4898,0.2688,0.5426,0.0516,1,0.1919
Well-01,2287,84,5.7888,14.6105,2.4972,0.267,0.5499,0.0467,1,0.0301
Well-01,2287.5,87.3125,5.7361,14.1904,2.5004,0.2581,0.5245,0.0473,1,0.0316
Well-01,2288,83.75,5.7701,14.2032,2.5025,0.2582,0.5286,0.0457,1,0.0274
Well-01,2288.5,88.4375,5.8387,14.3321,2.502,0.2608,0.5368,0.0452,1,0.0263
Well-01,2289,87.375,5.8733,14.5835,2.4865,0.2526,0.4796,0.0591,1,0.4408
Well-01,2289.5,87.8125,5.9559,14.3843,2.4894,0.2391,0.4388,0.0612,1,0.5435
Well-01,2290,89.625,6.1453,14.0017,2.4936,0.2396,0.4482,0.058,1,0.3942
Well-01,2290.5,96.9375,6.3064,13.4301,2.4972,0.2418,0.4623,0.0548,1,0.2777
Well-01,2291,103.8125,6.4398,12.9245,2.5036,0.2453,0.486,0.049,1,0.0365
Well-01,2291.5,112.125,6.53,12.3582,2.5111,0.2488,0.5114,0.0424,1,0.0202
Well-01,2292,113.6875,6.6984,11.9967,2.5195,0.25,0.5312,0.0359,1,0.0102
Well-01,2292.5,117.4375,6.8934,11.866,2.5319,0.2522,0.5617,0.0261,1,0.0028
Well-01,2293,110.3125,7.0717,12.0839,2.5476,0.2553,0.6015,0.0138,1,0.0002
Well-01,2293.5,103.3125,7.0714,12.4753,2.5477,0.2547,0.5996,0.0139,1,0.0002
Well-01,2294,96.6875,6.8462,13.0204,2.5476,0.2548,0.5998,0.0139,1,0.0002
Well-01,2294.5,92.8125,6.3772,13.6862,2.5501,0.2572,0.6129,0.0118,1,0.0001
